,x,y,class
0,1.4620906047034576,-0.7463742709621084,0
1,1.6136065354528346,-0.46533275433718735,0
2,-0.39935357299433033,-0.021014894972318537,1
3,1.5145650155318129,-0.4684279225943679,0
4,-0.2201920197671795,0.02491968016151786,1
5,1.0653152923584077,-0.19593858755979815,0
6,-1.0494305930720889,0.7166985640367022,0
7,-0.438563412509461,0.40123062939683235,0
8,-0.3606148854127785,-0.022809405240153114,1
9,-0.37617516005915397,-0.03394496827223867,1
10,0.8787384638497275,0.4815079195283122,0
11,0.3228794657643033,0.2765748284340543,0
12,-0.35141115259512995,-0.0363659745668818,1
13,0.2814652926930287,0.32839518214639873,0
14,-0.06468432000601966,-0.8559248287486104,0
15,0.33238676794289274,0.23171845266045737,0
16,-0.3332892931751378,-0.041606977005595874,1
17,-0.36302450262838404,-0.055040351425897735,1
18,-1.319134358827054,-0.2715585795823863,0
19,-0.3398126921379649,-0.060815382025721516,1
20,0.6065879600416009,-0.6543447158023135,0
21,-0.31343210467227145,-0.06776689058884665,1
22,-1.2265863638991978,0.44203391575528356,0
23,-0.38799675829769603,-0.08262578926447806,1
24,-0.15334115531096348,-1.5567625631849764,0
25,1.2992471497695903,-0.947592468720742,0
26,-0.45008275102864603,-0.09310787614089959,1
27,-0.34401578684223433,-0.09895074568705359,1
28,-0.4514295302808212,-0.10657598092042324,1
29,1.0252867461120585,0.4081618639404688,0
30,-0.24427648011074105,-0.12290793484712764,1
31,-0.11576884762189801,-0.8613655498885677,0
32,0.3108021524652372,0.19298598377257267,0
33,-1.2155476230344788,-0.5245263248168304,0
34,-1.17343413594051,0.6162446938937679,0
35,-0.3556952649827848,-0.12718127542080743,1
36,-0.31540989541186853,-0.1406172348703798,1
37,-0.35130648299911116,-0.1464793821825,1
38,-0.30374285827878955,-0.1632591187045306,1
39,-0.19035701132059332,-0.19461770013646862,1
40,0.21803210910171125,-0.8781812354102043,0
41,-0.40955366928394343,-0.16202406843260242,1
42,-0.3694466306302912,-0.17895491489968923,1
43,-0.32453131245951844,-0.199244263860565,1
44,-0.32283173127099485,-0.20906221114790485,1
45,-1.1932992994857756,0.5555554411578882,0
46,-1.2195875962957758,0.36897087282223656,0
47,-0.3576916368448322,-0.20678510649737813,1
48,-0.285957469212688,-0.24009375902041016,1
49,-0.6369967179119761,-1.2826877774720011,0
50,1.3648974827234404,-0.8618381736832293,0
51,-0.3429508944966844,-0.2276327829912008,1
52,-0.38602795996901684,-0.6640699174847016,0
53,-0.6929875915980664,-0.2671840452791896,0
54,-0.286906603053387,-0.2585018920052548,1
55,-0.6064467610576089,-0.2167593066022137,0
56,-0.5401365160793007,-0.5213543905261325,0
57,-0.33084432081798876,-0.2475412095148985,1
58,-1.2514159408960606,0.4075202102722972,0
59,-0.5950196863121304,-0.36023365682864317,0
60,0.4061463620427302,-0.7601277842039619,0
61,-0.31922980121656014,-0.2600674450897231,1
62,-0.7852474786531991,0.9412637029159701,0
63,-0.35347659233153944,-0.2492040647823867,1
64,-0.6717181496737942,0.1816511961076817,0
65,-0.30725943099119873,-0.2796733796397316,1
66,-0.5298275504053371,-1.3461135646952251,0
67,-1.1612513119644976,0.6203768688783122,0
68,0.4170099673019416,1.0235567770705531,0
69,-0.3560289971362159,-0.25717940034905906,1
70,-0.34420012840911574,-0.26814122915796335,1
71,-0.31253466731558294,-0.29229026124815544,1
72,-0.26318629930643744,-0.33041467126792146,1
73,-0.24261514437577414,-0.3504204653723094,1
74,-0.2561740086529912,-0.3446739872525813,1
75,0.5483663177510663,-0.7274372858181961,0
76,-0.28887731654854387,-0.32108402483400456,1
77,-0.24079024438851318,-0.3637562180969558,1
78,-0.287925223458189,-0.3225435606844137,1
79,-1.2530874481048677,-0.6508009071392757,0
80,-0.23858715662872113,-0.368773761069979,1
81,-0.1921346610183952,-0.41589290700508774,1
82,0.13020110597257506,0.456224509594169,0
83,-1.1405912705328145,0.5513827343741956,0
84,-0.19568928713239855,-0.41304867631884085,1
85,-0.16158832103716247,-0.4511631997623575,1
86,-0.4788996822555348,1.134226374279813,0
87,-0.1906900868064162,-0.4164420756312822,1
88,-0.4734761398578002,1.0702884738474743,0
89,-0.617360236533587,1.0286928093749137,0
90,-0.27485596668055734,0.5101908566737157,0
91,-0.6661433012698593,1.0186526535424443,0
92,0.24814753662875888,-0.8169341650462716,0
93,0.3753812107192694,-0.7941480720779008,0
94,-0.744654899115222,0.08608495218074888,0
95,-0.25243411623239076,-0.33515371547594336,1
96,-0.2426182512390003,-0.338793996342944,1
97,-0.11161320355114211,-0.512537912457832,1
98,0.9666789247812607,-0.19298222541703094,0
99,-0.14668400100796342,-0.45750543824048207,1
100,0.08070685157903182,0.4093554253353936,0
101,-0.16201650427082923,-0.4255536718691503,1
