,0,1,class
0,5.674389323155117,6.910271989819324,1
1,4.334405550260285,4.0353238908756435,0
2,3.3938749128873966,4.103562793217202,0
3,4.326788693714935,5.384696896155537,1
4,5.153377265627377,6.137648877393938,1
5,1.691327794027323,4.132889491358979,0
6,2.7844972820396707,3.7153334160139435,0
7,5.124426781476603,6.243676030260424,1
8,4.4058944820588835,5.9557980518415,1
9,4.023227845246653,4.322577735314167,0
10,3.263160499204787,2.956375112776182,0
11,4.143236738003178,6.098468149291535,1
12,4.984246811766191,5.561830340665118,1
13,3.896348258195307,6.319859928944444,1
14,3.3128231839414006,4.112022104129878,0
15,3.2236598588901266,4.263001554002388,0
16,6.106139130081547,5.200903297585586,1
17,2.341043505266449,2.680757698150429,0
18,2.657896141647588,3.991091014110482,0
19,4.101645759052251,5.758558098523945,1
20,2.3846311481260685,4.615158875946313,0
21,2.121330115800816,5.935218938527404,1
22,5.578083521039609,5.006227160083749,1
23,3.1666559954041293,5.591614011612258,0
24,3.926761221076209,5.268506724200856,1
25,4.562339884363373,5.519757210007035,1
26,5.52612177375299,5.440933542618319,1
27,5.099257686405515,5.395192698129772,1
28,2.5320268247379767,4.1608272581656305,0
29,3.4495206766626527,4.724110662493462,0
30,3.470596752803219,3.910851242425624,0
31,3.2837089032319433,3.267435218402778,0
32,5.348584661655679,6.828463614442473,1
33,4.888970700904842,6.361632337138745,1
34,1.4402475330817939,3.1447178618366842,0
35,4.6933843018706645,3.2800029369263553,0
36,4.21412759422113,5.036157532658194,1
37,2.8695273112662982,2.8676992393042284,0
38,3.553981439694664,5.799304830160433,1
39,4.4829095425311225,6.311636970444479,1
40,2.659299109382871,4.105816811955389,0
41,6.725593152742805,7.904440637532262,1
42,5.1469949627263665,6.528645030747808,1
43,3.4851602878927936,5.7662027325010135,1
44,3.664737131865012,3.7827476077991187,0
45,4.441358402527982,5.782579287324467,1
46,4.831503358849857,6.450239284358511,1
47,7.347709504069816,6.521677657093251,1
48,3.1028218970560273,4.183997787813644,0
49,6.163115946632244,7.510157480272709,1
50,3.3471969654637896,4.028283991613931,0
51,5.271133040764971,5.251284084215825,1
52,4.951423854047189,6.29629705442704,1
53,4.192984018586305,5.727964316663497,1
54,3.073284391912051,3.73137623485571,0
55,5.086702247018117,4.637134279184258,1
56,5.4107591566162325,5.891258448035904,1
57,4.943511701618588,5.5879876793060905,1
58,2.8204537586327976,4.050078501795758,0
59,5.578503970398246,6.444164360058089,1
60,3.607208197205477,4.565629862148613,0
61,3.352868466044071,4.230174151099159,0
62,2.4936997726574663,3.685913092412429,0
63,6.502978938418626,5.079427049288462,1
64,4.74983109290922,5.747771299367092,1
65,3.045607963868851,4.626793541263645,0
66,2.0197342275886645,4.009090925856376,0
67,2.8278409178092723,3.8989316416451585,0
68,2.5595125969680863,4.338647422346339,0
69,3.0476746681934004,6.676749133084856,1
70,5.022525963574233,6.618905426523599,1
71,4.693630482990323,5.174850471198195,1
72,3.9373790000139843,3.4387153731813402,0
73,4.890178967741703,6.56058849147117,1
74,5.681522374647954,6.853737049623301,1
75,5.2109461343835815,5.973200210224839,1
76,2.0759800570419875,3.899962614585996,0
77,3.9731009754149613,5.9602422212461645,1
78,1.7173985896911381,3.469613444658632,0
79,2.9997026484036913,3.481733575774884,0
80,4.163433381295155,3.546324776910794,0
81,3.974567803027102,5.506433618261717,1
82,3.7372657508718206,5.234887192292592,0
83,4.830026158989962,6.461181485266173,1
84,5.304928802696439,4.593377248286558,1
85,2.2956060727493557,4.404997857010304,0
86,4.087243796077398,6.040596519558823,1
87,3.968155690823612,4.620062306701851,0
88,5.757162121471423,5.257790379510926,1
89,2.319347478765841,4.583448310498278,0
90,5.9363212099750635,6.156212192031335,1
91,4.9616443795683915,5.131828137745094,1
92,5.140028155827263,5.363297050127555,1
93,6.120129825469849,7.241227583896494,1
94,5.130069240922266,5.561229030861549,1
95,3.325775586392799,6.174637207535325,1
96,5.263728067226765,7.088928732465616,1
97,5.289356505882201,6.203417374810549,1
98,4.990488901824276,6.139733386318061,1
99,5.497099718139662,6.528544819862662,1
100,3.928362510514146,6.311660256933925,1
101,4.274224357324623,6.075071099750374,1
102,2.0247016548966075,4.404447605455776,0
103,4.243431205474138,6.388954725140759,1
104,4.815427391814934,5.541438389612569,1
105,5.393819082627653,6.490804238271989,1
106,4.543346239874754,4.758299515088239,1
107,5.013777339286198,5.388272294654523,1
108,2.0118971119905407,3.023455651720398,0
109,4.591523929405344,5.914529059494554,1
110,2.749303879156183,3.949115624591291,0
111,4.077307700248772,6.214632841459694,1
112,2.4913819788169747,3.2585922452059393,0
113,4.383635565160746,6.077922953533748,1
114,2.440811822598623,4.859214565293508,0
115,4.9968356255095765,6.746481345388005,1
116,5.786795119744879,6.310246570171361,1
117,3.9730808400443696,5.8858799617088495,1
118,4.869894530475057,6.845324930073236,1
119,2.5448952135382434,3.872084954611848,0
120,4.266464691271392,5.698451956492961,1
121,5.348001185642459,7.1060586192175155,1
122,2.1351752211091295,4.449339237433383,0
123,5.232468252749704,6.703432065468814,1
124,2.7747506742314987,4.490181620453653,0
125,2.3125354104806988,3.1124483359172395,0
126,4.869308762275997,6.114589213085231,1
127,3.433845997590704,4.3218201059580945,0
128,4.486298859361833,3.710000545449373,0
129,3.1263423969379076,4.896719412387527,0
130,2.230446501836639,4.33938370547743,0
131,3.7769707169612663,3.747732963340845,0
132,3.2737630771394812,4.360457894083887,0
133,4.164435885925437,5.129602724844641,1
134,5.05784079714635,6.097771829601532,1
135,1.6450756036996346,4.174609875161705,0
136,6.81069021747,6.203097055198166,1
137,3.1821591744176874,4.235599711129369,0
138,2.214280601519602,3.833325127086431,0
139,2.474403067553192,4.410941919469511,0
140,4.494248681385721,6.206041423843747,1
141,4.881557702618242,5.495373756412767,1
142,5.895611389497586,6.282125657405824,1
